raw_question,choices,question,question_with_choices,source,link
These days openness about sex has gone too far.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""These days openness about sex has gone too far.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",These days openness about sex has gone too far. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Oppression by corporations is more of a concern than oppression by governments.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Oppression by corporations is more of a concern than oppression by governments.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Oppression by corporations is more of a concern than oppression by governments. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is necessary for the government to intervene in the economy to protect consumers.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is necessary for the government to intervene in the economy to protect consumers.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is necessary for the government to intervene in the economy to protect consumers. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"The freer the markets, the freer the people.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The freer the markets, the freer the people.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","The freer the markets, the freer the people. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is better to maintain a balanced budget than to ensure welfare for all citizens.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is better to maintain a balanced budget than to ensure welfare for all citizens.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is better to maintain a balanced budget than to ensure welfare for all citizens. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Publicly-funded research is more beneficial to the people than leaving it to the market.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Publicly-funded research is more beneficial to the people than leaving it to the market.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Publicly-funded research is more beneficial to the people than leaving it to the market. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Tariffs on international trade are important to encourage local production.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Tariffs on international trade are important to encourage local production.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Tariffs on international trade are important to encourage local production. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"From each according to his ability, to each according to his needs.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""From each according to his ability, to each according to his needs.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","From each according to his ability, to each according to his needs. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It would be best if social programs were abolished in favor of private charity.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It would be best if social programs were abolished in favor of private charity.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It would be best if social programs were abolished in favor of private charity. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Taxes should be increased on the rich to provide for the poor.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Taxes should be increased on the rich to provide for the poor.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Taxes should be increased on the rich to provide for the poor. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Inheritance is a legitimate form of wealth.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Inheritance is a legitimate form of wealth.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Inheritance is a legitimate form of wealth. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Basic utilities like roads and electricity should be publicly owned.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Basic utilities like roads and electricity should be publicly owned.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Basic utilities like roads and electricity should be publicly owned. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Government intervention is a threat to the economy.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Government intervention is a threat to the economy.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Government intervention is a threat to the economy. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Those with a greater ability to pay should receive better healthcare.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Those with a greater ability to pay should receive better healthcare.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Those with a greater ability to pay should receive better healthcare. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Quality education is a right of all people.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Quality education is a right of all people.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Quality education is a right of all people. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
The means of production should belong to the workers who use them.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The means of production should belong to the workers who use them.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The means of production should belong to the workers who use them. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
The United Nations should be abolished.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The United Nations should be abolished.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The United Nations should be abolished. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Military action by our nation is often necessary to protect it.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Military action by our nation is often necessary to protect it.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Military action by our nation is often necessary to protect it. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"I support regional unions, such as the European Union.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""I support regional unions, such as the European Union.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","I support regional unions, such as the European Union. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is important to maintain our national sovereignty.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is important to maintain our national sovereignty.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is important to maintain our national sovereignty. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
A united world government would be beneficial to mankind.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""A united world government would be beneficial to mankind.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",A united world government would be beneficial to mankind. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is more important to retain peaceful relations than to further our strength.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is more important to retain peaceful relations than to further our strength.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is more important to retain peaceful relations than to further our strength. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Wars do not need to be justified to other countries.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Wars do not need to be justified to other countries.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Wars do not need to be justified to other countries. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Military spending is a waste of money.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Military spending is a waste of money.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Military spending is a waste of money. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
International aid is a waste of money.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""International aid is a waste of money.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",International aid is a waste of money. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
My nation is great.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""My nation is great.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",My nation is great. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Research should be conducted on an international scale.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Research should be conducted on an international scale.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Research should be conducted on an international scale. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Governments should be accountable to the international community.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Governments should be accountable to the international community.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Governments should be accountable to the international community. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"Even when protesting an authoritarian government, violence is not acceptable.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Even when protesting an authoritarian government, violence is not acceptable.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Even when protesting an authoritarian government, violence is not acceptable. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
My religious values should be spread as much as possible.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""My religious values should be spread as much as possible.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",My religious values should be spread as much as possible. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Our nation's values should be spread as much as possible.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Our nation's values should be spread as much as possible.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Our nation's values should be spread as much as possible. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is very important to maintain law and order.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is very important to maintain law and order.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is very important to maintain law and order. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
The general populace makes poor decisions.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The general populace makes poor decisions.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The general populace makes poor decisions. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Physician-assisted suicide should be legal.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Physician-assisted suicide should be legal.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Physician-assisted suicide should be legal. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
The sacrifice of some civil liberties is necessary to protect us from acts of terrorism.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The sacrifice of some civil liberties is necessary to protect us from acts of terrorism.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The sacrifice of some civil liberties is necessary to protect us from acts of terrorism. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Government surveillance is necessary in the modern world.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Government surveillance is necessary in the modern world.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Government surveillance is necessary in the modern world. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
The very existence of the state is a threat to our liberty.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The very existence of the state is a threat to our liberty.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The very existence of the state is a threat to our liberty. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"Regardless of political opinions, it is important to side with your country.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Regardless of political opinions, it is important to side with your country.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Regardless of political opinions, it is important to side with your country. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
All authority should be questioned.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""All authority should be questioned.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",All authority should be questioned. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
A hierarchical state is best.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""A hierarchical state is best.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",A hierarchical state is best. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"It is important that the government follows the majority opinion, even if it is wrong.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is important that the government follows the majority opinion, even if it is wrong.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","It is important that the government follows the majority opinion, even if it is wrong. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"The stronger the leadership, the better.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The stronger the leadership, the better.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","The stronger the leadership, the better. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Democracy is more than a decision-making process.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Democracy is more than a decision-making process.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Democracy is more than a decision-making process. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Environmental regulations are essential.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Environmental regulations are essential.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Environmental regulations are essential. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"A better world will come from automation, science, and technology.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""A better world will come from automation, science, and technology.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","A better world will come from automation, science, and technology. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Children should be educated in religious or traditional values.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Children should be educated in religious or traditional values.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Children should be educated in religious or traditional values. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Traditions are of no value on their own.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Traditions are of no value on their own.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Traditions are of no value on their own. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Religion should play a role in government.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Religion should play a role in government.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Religion should play a role in government. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Churches should be taxed the same way other institutions are taxed.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Churches should be taxed the same way other institutions are taxed.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Churches should be taxed the same way other institutions are taxed. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Climate change is currently one of the greatest threats to our way of life.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Climate change is currently one of the greatest threats to our way of life.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Climate change is currently one of the greatest threats to our way of life. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is important that we work as a united world to combat climate change.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is important that we work as a united world to combat climate change.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is important that we work as a united world to combat climate change. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Society was better many years ago than it is now.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Society was better many years ago than it is now.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Society was better many years ago than it is now. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
It is important that we maintain the traditions of our past.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is important that we maintain the traditions of our past.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is important that we maintain the traditions of our past. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"It is important that we think in the long term, beyond our lifespans.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is important that we think in the long term, beyond our lifespans.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","It is important that we think in the long term, beyond our lifespans. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Reason is more important than maintaining our culture.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Reason is more important than maintaining our culture.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Reason is more important than maintaining our culture. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Drug use should be legalized or decriminalized.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Drug use should be legalized or decriminalized.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Drug use should be legalized or decriminalized. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Same-sex marriage should be legal.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Same-sex marriage should be legal.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Same-sex marriage should be legal. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
No cultures are superior to others.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""No cultures are superior to others.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",No cultures are superior to others. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Sex outside marriage is immoral.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Sex outside marriage is immoral.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Sex outside marriage is immoral. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"If we accept migrants at all, it is important that they assimilate into our culture.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""If we accept migrants at all, it is important that they assimilate into our culture.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","If we accept migrants at all, it is important that they assimilate into our culture. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Abortion should be prohibited in most or all cases.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Abortion should be prohibited in most or all cases.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Abortion should be prohibited in most or all cases. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Gun ownership should be prohibited for those without a valid reason.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Gun ownership should be prohibited for those without a valid reason.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Gun ownership should be prohibited for those without a valid reason. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
"I support single-payer, universal healthcare.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""I support single-payer, universal healthcare.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","I support single-payer, universal healthcare. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Prostitution should be illegal.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Prostitution should be illegal.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Prostitution should be illegal. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
Maintaining family values is essential.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Maintaining family values is essential.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Maintaining family values is essential. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,8Values Political Test,https://www.idrlabs.com/8-values-political/test.php
